dbpk,catalogNumber,occurrenceID,basisOfRecord,scientificName,taxonRank,kingdom,phylum,class,recordedBy,eventDate,verbatimEventDate,country,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,occurrenceRemarks,associatedMedia,dataGeneralizations
iNat-387835805,iNat-387835805,https://www.inaturalist.org/observations/387835805,PreservedSpecimen,Halictus subauratus,species,Animalia,Arthropoda,Insecta,nmont,2026-08-03,2026-08-03T13:18:07+02:00,"17174 Sant Feliu de Pallerols, Girona, Espanya",42.0810279722,2.5118949167,,Pla de Bastons,https://inaturalist-open-data.s3.amazonaws.com/photos/710234862/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710234880/large.jpg,Harvested from iNaturalist observation 387835805
iNat-387835800,iNat-387835800,https://www.inaturalist.org/observations/387835800,PreservedSpecimen,Chrysoperla carnea,complex,Animalia,Arthropoda,Insecta,Siebe Ritsema van Eck,2026-08-03,2026-08-03T11:52:52+02:00,"Via Allée Blanche, Courmayeur, Aosta Valley, IT",45.7997768236,6.9649956029,26,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234815/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710234828/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710234827/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710234830/large.jpg,Harvested from iNaturalist observation 387835800
iNat-387835796,iNat-387835796,https://www.inaturalist.org/observations/387835796,PreservedSpecimen,Emmelina monodactyla,species,Animalia,Arthropoda,Insecta,Alina I. Sartorius,2026-08-03,2026-08-03T11:24:56+02:00,"Im Wasenboden, 4056 Basel, Switzerland",47.5686861,7.5712241,,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234857/large.jpg,Harvested from iNaturalist observation 387835796
iNat-387835787,iNat-387835787,https://www.inaturalist.org/observations/387835787,PreservedSpecimen,Ancylis burgessiana,species,Animalia,Arthropoda,Insecta,nancyedouglas,2026-08-03,2026-08-03T07:23:35-04:00,"Belmont, Central Elgin, ON N0L 1B0, Canada",42.8831681237,-81.0927781463,7,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234835/large.jpg,Harvested from iNaturalist observation 387835787
iNat-387835779,iNat-387835779,https://www.inaturalist.org/observations/387835779,PreservedSpecimen,Boloria perryi,species,Animalia,Arthropoda,Insecta,Miyrumiyru,2026-07-23,2026-07-23T15:53:00+09:00,"Yeongjung-myeon, Pocheon-si, Gyeonggi-do, South Korea",37.9767003333,127.276811,,,https://static.inaturalist.org/photos/710154326/large.jpg;https://static.inaturalist.org/photos/710154332/large.jpg;https://static.inaturalist.org/photos/710154369/large.jpg;https://static.inaturalist.org/photos/710154376/large.jpg;https://static.inaturalist.org/photos/710154405/large.jpg;https://static.inaturalist.org/photos/710154425/large.jpg;https://static.inaturalist.org/photos/710154456/large.jpg;https://static.inaturalist.org/photos/710154438/large.jpg;https://static.inaturalist.org/photos/710154461/large.jpg;https://static.inaturalist.org/photos/710154513/large.jpg;https://static.inaturalist.org/photos/710154519/large.jpg;https://static.inaturalist.org/photos/710154549/large.jpg;https://static.inaturalist.org/photos/710154556/large.jpg;https://static.inaturalist.org/photos/710154575/large.jpg;https://static.inaturalist.org/photos/710154611/large.jpg;https://static.inaturalist.org/photos/710154633/large.jpg;https://static.inaturalist.org/photos/710154652/large.jpg;https://static.inaturalist.org/photos/710154673/large.jpg;https://static.inaturalist.org/photos/710154917/large.jpg;https://static.inaturalist.org/photos/710155065/large.jpg,Harvested from iNaturalist observation 387835779
iNat-387835778,iNat-387835778,https://www.inaturalist.org/observations/387835778,PreservedSpecimen,Propylea quatuordecimpunctata,species,Animalia,Arthropoda,Insecta,annuskae,2026-07-31,2026-07-31T12:15:54+03:00,"Uusimaa, FI-ES, FI",60.1797519175,24.5345023779,2,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234795/large.jpg,Harvested from iNaturalist observation 387835778
iNat-387835774,iNat-387835774,https://www.inaturalist.org/observations/387835774,PreservedSpecimen,Danaus plexippus,species,Animalia,Arthropoda,Insecta,Kevin Barry,2026-08-01,2026-08-01T20:08:56-04:00,"Erie, PA 16507, USA",42.1440956091,-80.0622613728,6,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234816/large.jpg,Harvested from iNaturalist observation 387835774
iNat-387835766,iNat-387835766,https://www.inaturalist.org/observations/387835766,PreservedSpecimen,Dermestidae,family,Animalia,Arthropoda,Insecta,Alec Hopping,2026-08-03,2026-08-03T20:22:38+09:00,"Shiriuchimachi Tateda, Hachinohe, Aomori, JP",40.5089083333,141.4317166667,63,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234757/large.jpg,Harvested from iNaturalist observation 387835766
iNat-387835765,iNat-387835765,https://www.inaturalist.org/observations/387835765,PreservedSpecimen,Mimas tiliae,species,Animalia,Arthropoda,Insecta,wobbligonious,2026-08-03,2026-08-03T13:22:33+02:00,"Złotów, Poland",53.3621787778,17.0384979167,,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234809/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710234853/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710234899/large.jpg,Harvested from iNaturalist observation 387835765
iNat-387835762,iNat-387835762,https://www.inaturalist.org/observations/387835762,PreservedSpecimen,Autographa gamma,species,Animalia,Arthropoda,Insecta,David Nemecek,2026-08-03,2026-08-03T13:20:51+02:00,"Úhonice, Úhonice, Central Bohemian Region, CZ",50.0486102142,14.1708868928,8,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234843/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710234927/large.jpg,Harvested from iNaturalist observation 387835762
iNat-387835759,iNat-387835759,https://www.inaturalist.org/observations/387835759,PreservedSpecimen,Polyommatus icarus,species,Animalia,Arthropoda,Insecta,Vendula Ondráková,2026-08-03,2026-08-03T10:55:59+02:00,"Únanov, South Moravian Region, CZ",48.8973883333,16.0599471667,4,,https://static.inaturalist.org/photos/710234766/large.jpg;https://static.inaturalist.org/photos/710234762/large.jpg,Harvested from iNaturalist observation 387835759
iNat-387835758,iNat-387835758,https://www.inaturalist.org/observations/387835758,PreservedSpecimen,Ropalidia fasciata,species,Animalia,Arthropoda,Insecta,Akil Guhan J,2026-08-03,2026-08-03T16:41:53+05:30,"SPIC, 5/499, opposite Spic, Pollachi, Tamil Nadu 642001, India",10.669754413,76.9930113573,9,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234818/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710234870/large.jpg,Harvested from iNaturalist observation 387835758
iNat-387835757,iNat-387835757,https://www.inaturalist.org/observations/387835757,PreservedSpecimen,Lethe,genus,Animalia,Arthropoda,Insecta,Chris Behany,2026-07-21,2026-07-21T09:16:00-04:00,"Onondaga County, NY, USA",42.7918768592,-76.05337998,8,,https://static.inaturalist.org/photos/710234532/large.jpg,Harvested from iNaturalist observation 387835757
